primaryName,nconst
Swarup Dutt,nm1374975
Arun Govil,nm4468244
Subiraj,nm13754437
Manhar,nm13755778
Nasreen,nm9946330
Moti Sagar,nm2598150
Kamaljeet,nm15907796
Juhi,nm13839215
Dattaram,nm1556067
Khurshid,nm9536461
Mir Taqi Mir,nm16773310
Mirza Ghalib,nm15894912
Dhaniram,nm16403241
Mehboob Sarwar,nm1413319
Amar Mallick,nm8976776
Runa Laila,nm1420791
Rajashri,nm6124069
Nootan,nm2194273
Roopkamal,nm1422726
Etc,nm14231880
Kamal Hasan,nm9878120
Jal Merchant,nm1432051
Aziz Ahmed Khan Warsi,nm1432695
Abha Banerjee,nm14419180
Aroon Kumar,nm9877941
Deepak Khanna,nm2064220
Nazeer Hussain,nm14496511
Kukku,nm2814790
Raajkumar,nm14631450
Naaz,nm9788007
Simi Grewal,nm14651965
Bande Hasan,nm1473143
Babla,nm1522301
Baby Sonia,nm14767778
Ghansham Vaswani,nm14781359
Vital Signs,nm8938415
Tansen,nm5568517
Durrani,nm7211871
Peace Kanwal,nm1487059
Pal Premi,nm1487948
Mushir Kazmi,nm1493183
Ajit Merchant,nm1495985
Johny Walker,nm3008971
Sarojini Naidu,nm1504982
Munish,nm3608639
Satish Bhatia,nm1511078
Kamlesh Kumari,nm15141963
Master Sandeep,nm8769287
Vimla,nm9074869
Minmini,nm1524253
Sarshar Sailani,nm1524886
Sayeeda Khan,nm1526551
Saadat Khan,nm15268750
Ajay Devgun,nm15292967
Datta Davjekar,nm1531461
Munir Hussain,nm8357473
Baby Geeta,nm1533694
Master Raju,nm8356029
Shatru,nm9061357
Saira Bano,nm15392229
Dara Singh,nm9104090
Saeeda Khan,nm15444994
Balbir,nm8465070
Dalip Kumar,nm9910894
Raakhee,nm15569985
B. Saroja Devi,nm15589294
Saroja Devi,nm15589301
A R Rahman,nm15668363
B Saroja Devi,nm15600077
S P Balasubramaniam,nm15606025
K K,nm4511307
Vanaja,nm3578399
Asit Baran,nm9405989
Shamim Jaipuri,nm1567672
Akhtar Romani,nm1567895
Noor Jahan,nm15735000
Salmaan Khan,nm15736420
Shweta Pandit,nm8016517
Neelkanth Tiwari,nm1576625
Ramesh Shastri,nm15826930
Jigar Moradabadi,nm15951367
Rana Sahri,nm1599466
Hemant Kedar,nm15997388
Ahmad Rahi,nm16001821
Ghulam Mohammad,nm8604353
Jabeen,nm16125988
Shyam Babu Pathak,nm1618599
Madhurani,nm1619931
Vanita Mishra,nm1619993
Nusrat,nm9121083
Noorjehan,nm16314533
Naseem Akhtar,nm2722996
Naresh Bhattacharya,nm4894660
Jaya Bachan,nm16447040
Gyani,nm16473062
Satyajeet,nm8887407
Krishna Kumari,nm6274856
Gulam Mohammed,nm6110285
Saeed Jafari,nm16615020
Anoop Ghoshal,nm16683842
Shiv Kumar Batalvi,nm3434216
Sulochana Chatterjee,nm1677538
Sadhna Singh,nm2936657
Naseer Khan,nm4867300
Vijaylakshmi,nm4314562
Antara Choudhary,nm1681536
Nashad,nm16895776
Payam,nm16937001
Kishori,nm1696166
Tabish,nm6870379
Usha Timothy,nm1719168
Pradeep Roy Choudhary,nm1749036
Salim Iqbal,nm7262959
Bela Mukherjee,nm1781726
Kishore Desai,nm1786814
Usha Iyer,nm1820174
Barua,nm1843394
Bharati,nm8723783
Poonam Vaidya,nm1994743
Bhagawan,nm7522246
Khalil Ahmad,nm9234025
Waheeda,nm2102863
Kabban Mirza,nm2165320
Yusaf Khan,nm2316761
Sardar Anjum,nm2363291
Sarosh Irani,nm2385800
Hari Om Sharan,nm2410041
Alla Rakha,nm2496460
Chand Pardesi,nm2506312
Niilo,nm2534931
Balkavi Bairagi,nm2596064
Gulshan Sufi,nm2696625
Sudarshan Faakir,nm2742372
Zahur Shah,nm2783143
Seemab,nm5789668
Prahlad Sharma,nm2989366
Qateel Shifai,nm3099726
Khumar Barabankvi,nm3199934
Tahira Syed,nm3471984
Kanhaiyalal,nm3527799
Masroor Anwar,nm3563586
Krishnakumari,nm9089278
Saba Afghani,nm3632447
Bibbo,nm3788073
Taslim Fazli,nm3792816
Sabiha Khanum,nm3845073
Momin Khan Momin,nm3885064
Munawwar Sultana,nm4019388
Snehprabha,nm4244419
Deepak Parasher,nm4422483
Samaresh Roy,nm4467169
Salil Chowdhury,nm4556221
Kum Kum,nm4611980
Shiv Kumar Saroj,nm4635879
Madhukar Rajasthani,nm4739621
Bhola Shreshtha,nm4768966
Manohar Khanna,nm4806714
Jagmohan,nm4836741
Shambhu Sen,nm4900852
Kedar Sharma,nm4914256
Sova Sen,nm4930286
Satish Batra,nm5052539
Sujeet,nm5113017
Indrani Roy,nm9517541
Sapan Chakravarty,nm5208320
Bina Roy,nm5428371
Asit Sen,nm5556806
Jivan,nm5618723
Shahida Khan,nm5766711
Shantarin,nm5882214
Aah Sitapuri,nm5955727
Hameeda Bano,nm6189160
Sohail Anwar,nm6743749
Muhammad Hussain,nm9104494
Kanhaiya Lal,nm6935844
Kamal Rajasthani,nm7058957
Rajendranath,nm7136257
Poorna Seth,nm7160328
Ajay Devgan,nm7179483
Rattan Kumar,nm7216732
Nigar,nm7335708
Waheeda Rahman,nm9724923
Shahid Kabir,nm7539299
Tuntun,nm7595531
Muzaffar Warsi,nm7727127
Lakshmichhaya,nm7823368
Ranjita,nm7928783
Basant Prakash,nm8211674
Govind Munees,nm8342123
Shams Azimabadi,nm8624594
Rakhee,nm8638774
Jakie,nm8773239
Butaram Sharma,nm8882596
Amir Qazalbash,nm9066629
Wahid Qureshi,nm9074872
Laxmikant-Pyarelal,nm9202341
Zafar Gorakhpuri,nm9219890
Nazar Hussain,nm9230974
Rajendar Kumar,nm9290478
Shiv-Hari,nm9418299
Zahira,nm9421130
Varsha Bhosle,nm9546636
Bijon Ghosh Dastidar,nm9557026
Roopkumar Rathod,nm9847372
Madubala,nm9855501
Jayadeva,nm9860655
Baby Saroj,nm9864669
Vasant Prabhu,nm9892058
Pahari Sanyal,nm9987256
Ayesha Julka,nm9992928
