primaryName,nconst
Anita Guha,nm15041904
Gulab,nm6264435
Gulzar,nm8313160
Milind Gunaji,nm0348004
Bipin Gupta,nm5266224
Neena Gupta,nm9806698
Sumati Gupte,nm0348507
Gurudutt,nm13946328
Ghulam Haider,nm0354048
A.K. Hangal,nm0359845
Jugal Hansraj,nm0361407
Jyotsna Hardikar,nm0362187
Hariharan,nm16650566
Harish,nm9598729
Nazia Hasan,nm0367876
Rohini Hattangadi,nm0368990
Bhupen Hazarika,nm0371913
Helen,nm9978887
Hema,nm9746005
Hiralal,nm7934035
Najmul Hussain,nm0403974
Zakir Hussain,nm9559634
Iftekhar,nm0407002
Shafi Inamdar,nm0408371
Indira,nm9984738
Rahat Indori,nm0408534
Daisy Irani,nm3115118
Honey Irani,nm0409790
Kaif Irfani,nm0409918
Ishwarlal,nm0411186
Jackie,nm9980857
Sardar Jafri,nm0415535
Jagdeep,nm4958656
Jaidev,nm9952361
Madan Jain,nm7352152
Ravindra Jain,nm4275433
Vani Jairam,nm0415854
Farida Jalal,nm0416077
Qamar Jalalabadi,nm0416078
Noel James,nm7941576
Jamuna,nm5234742
Jaya Prada,nm0419685
Jayasree,nm8190587
Nalini Jaywant,nm0419787
Jeetendra,nm6378547
Jeevan,nm9835975
Noor Jehan,nm1875133
I.S. Johar,nm0424102
Pallavi Joshi,nm7736659
Jyoti,nm9852928
Anjali Kadam,nm0434260
Shaukat Azmi,nm0435013
Kalpana,nm9971785
Kalyani,nm8376612
Suman Kalyanpur,nm0436308
Kamal,nm9967253
Kamran,nm8088087
Gauhar Kanpuri,nm0437855
Kantilal,nm4974955
Anita Kanwar,nm1609381
Dimple Kapadia,nm0438092
Kapoor,nm3543694
Anil Kapoor,nm6257053
Kamal Kapoor,nm12239815
Madhu Kapoor,nm16861068
Mahendra Kapoor,nm0438481
Meena Kapoor,nm0438485
Rajeev Kapoor,nm5223244
Rishi Kapoor,nm14079149
Sanjay Kapoor,nm9791952
Trilok Kapoor,nm8701960
Suhrid Kar,nm0438653
Girish Karnad,nm15519777
Kalpana Kartik,nm0440235
Mahesh Kaul,nm0442395
Satish Kaul,nm13662684
Dilraj Kaur,nm10687912
Kamini Kaushal,nm0442470
Raj Kaushal,nm0442472
Aamir Khan,nm9836045
Adnan Sami,nm15609143
Ali Akbar Khan,nm9466144
Amjad Khan,nm9948705
Ashraf Khan,nm9341545
Feroz Khan,nm9578785
Jhande Khan,nm0451246
Mazhar Khan,nm9975317
Nasir Khan,nm9170346
Saif Ali Khan,nm16423960
Sanjay Khan,nm8905239
Shah Rukh Khan,nm6746162
Ustad Amir Khan,nm0451332
Akshaye Khanna,nm0451379
Padma Khanna,nm13717980
Rahul Khanna,nm6549814
Usha Khanna,nm0451395
Vinod Khanna,nm13353448
Kulbhushan Kharbanda,nm0451425
Khayyam,nm3355117
Anupam Kher,nm0451600
Raj Khosla,nm0451846
Durga Khote,nm0451862
Shobha Khote,nm0451863
Khurshid Anwar,nm15423993
Amir Khusro,nm11873920
Kimi,nm8158845
Kaajal Kiran,nm0456091
Raj Kiran,nm7694245
Usha Kiran,nm0456096
Kishore,nm9579918
Dev Kohli,nm0463313
Madan Mohan,nm8187517
Manisha Koirala,nm0463539
Padmini Kolhapure,nm13757462
Gopi Krishna,nm9606324
Manmohan Krishna,nm0471443
Kavita Krishnamurthy,nm0471469
Kumar,nm9643527
Akshay Kumar,nm5979406
Amit Kumar,nm9956297
Anoop Kumar,nm5073048
Arun Kumar,nm9951085
Dev Kumar,nm7948273
Dilip Kumar,nm8484939
Kiran Kumar,nm9980636
Kishore Kumar,nm9616516
Pradeep Kumar,nm9982717
Raaj Kumar,nm8836961
Rajendra Kumar,nm7855526
Ratan Kumar,nm6785995
Sanjeev Kumar,nm9545567
Santosh Kumar,nm9982814
Shabbir Kumar,nm7097801
Sharad Kumar,nm4773936
Shiv Kumar,nm9783432
Sudesh Kumar,nm7945570
Sudhir Kumar,nm9517484
Sushil Kumar,nm9833767
Udhav Kumar,nm0474906
Uttam Kumar,nm8026033
Vijay Kumar,nm9952161
Meena Kumari,nm9322787
Veena,nm9785002
Kumkum,nm8122556
Vatsala Kumthekar,nm0475034
L. Vijayalakshmi,nm0478352
Bappi Lahiri,nm0481568
Lakshmi,nm9952176
Laxmi,nm9909808
Lata,nm9195934
Laxman,nm9556240
Master Madan,nm0534490
Madan Puri,nm3086769
Madhavi,nm9952310
Madhu,nm9915480
Madhubala,nm9960889
Madhuri,nm6305804
Shankar Mahadevan,nm10195931
Anju Mahendru,nm0536821
Jalal Malihabadi,nm0536936
Mahipal,nm17101754
Talat Mahmood,nm0537027
Majnu,nm0538159
Malathi,nm6583854
Sudha Malhotra,nm0539502
Sardar Malik,nm0539592
Verma Malik,nm0539599
Mandakini,nm6455764
Hridaynath Mangeshkar,nm0542195
Lata Mangeshkar,nm13788445
Usha Mangeshkar,nm0542197
Manju,nm9336738
Manohar,nm9777894
Manorama,nm9973222
Anant Marathe,nm0544934
Ram Marathe,nm0544935
Maruti,nm1829577
Khan Mastana,nm0557605
Asha Mathur,nm3981848
Meena,nm9822554
Meera,nm8284604
Mehboob,nm7296430
Raja Mehdi Ali Khan,nm0576397
Mehmood,nm9783668
Prakash Mehra,nm16808362
Raj Mehra,nm13762476
Vinod Mehra,nm0576495
Tarla Mehta,nm0576582
Mehtab,nm0576591
Leela Mishra,nm10344152
Smriti Mishra,nm8034413
Shyamal Mitra,nm6950483
Shahu Modak,nm0595194
Sohrab Modi,nm0595271
Ghulam Mohammed,nm9535860
Moti,nm9517124
Motilal,nm9084374
Sandhya Mukherjee,nm15041088
Nitin Mukesh,nm1042471
Indrani Mukherjee,nm8393500
Indu Mukherjee,nm0611533
Joy Mukherjee,nm9501495
Ranu Mukherjee,nm4921659
Sheikh Mukhtar,nm0611595
Mukri,nm4480377
Pankaj Mullick,nm0612281
Mumtaz Begum,nm9940712
Minoo Mumtaz,nm0612618
Murad,nm8450928
Mirza Musharraf,nm0615677
Vivek Mushran,nm0615693
Nadira,nm9057683
Anant Nag,nm0619047
Nagendra,nm9366901
Leela Naidu,nm0619662
Ramesh Naidu,nm9691120
Naina,nm9894222
Prashant Nanda,nm0620788
Tanvir Naqvi,nm0621188
Aditya Narayan,nm15527836
Prema Narayan,nm0621254
Udit Narayan,nm13454437
Naseeruddin,nm0621658
Al Nasir,nm0621861
Alok Nath,nm0622186
Deepti Naval,nm0622732
Nazima,nm0623416
Nazir,nm8358141
Neelam,nm9899653
Neena,nm7601406
Neeraj,nm9886719
Neeta,nm8622327
Sonu Nigam,nm13883680
Nigar Sultana,nm8824054
Nimmi,nm8045650
Nirmala,nm9952286
Navin Nischol,nm0632615
Nivedita,nm6488513
Nutan,nm14663521
Suresh Oberoi,nm0643350
Adi Narayana Rao,nm0654891
Pearl Padamsee,nm0655590
Padma,nm9983174
Padmini,nm9449700
Vishnupant Pagnis,nm0656525
Amol Palekar,nm15656994
Nana Palsikar,nm0658811
Aditya Pancholi,nm0659156
Vinod Pande,nm0659225
Pandari Bai,nm15563495
