primaryTitle,tconst
Shaheed,tt0141819
Humayun,tt0142385
Shayar,tt0143872
Yatrik,tt0144023
Seema,tt0146266
Dosti,tt0146645
Ghunghat,tt0146794
Masoom,tt0147036
Anokhi Raat,tt0147843
Brahmachari,tt0259899
Jeene Ki Raah,tt0148353
Khilona,tt0148375
Safar,tt0148692
Saraswatichandra,tt0148706
Shikast,tt0148842
Badi Maa,tt0149773
Dopatta,tt0150422
Gaman,tt0150683
Jugnu,tt0151156
Ladli,tt0151282
Lahu Ke Do Rang,tt0151285
Lajawab,tt0151287
Main Tulsi Tere Aangan Ki,tt0151466
Ram Teri Ganga Maili,tt0152139
Razia Sultan,tt0152148
Saloni,tt0152272
Swami,tt0152720
Taal,tt0152836
Veena,tt0153502
Vijeta,tt0153545
Zeenat,tt0154026
Aandhiyan,tt0154106
Badal,tt0154189
Barood,tt0154208
Black Cat,tt0154236
Des Pardes,tt0154390
Hanste Zakhm,tt0154563
Haqeeqat,tt0154565
Heera Panna,tt0154578
Joru Ka Bhai,tt0154689
Blackmail,tt0154706
Mehbooba,tt0154863
Resham Ki Dori,tt0155106
Shabnam,tt0155161
Tower House,tt0155286
Jawab,tt0155774
Jawani Diwani,tt0155775
Sanam Teri Kasam,tt0156043
Zindagi,tt0156192
Aaj,tt0156256
Anubhav,tt0156290
Apni Izzat,tt0156296
Chhote Babu,tt0156396
Daasi,tt0156445
Dard-E-Dil,tt0156452
Girl Friend,tt0156571
Griha Pravesh,tt0156581
Hariyali Aur Rasta,tt0156593
Jeevan Mrityu,tt0156641
Kangan,tt0156683
Kavi,tt0156696
Mr. X,tt0156809
Naya Sansar,tt0156834
Raat Aur Din,tt0156923
Saatwan Aasman,tt0157003
Tulsidas,tt0157125
Waris,tt0157170
Barood,tt0157358
Chitchor,tt0157460
Dekh Kabira Roya,tt0157524
Dream Girl,tt0157556
Love In Tokyo,tt0157944
Man Mandir,tt0157964
Man Pasand,tt0157965
Nai Raahen,tt0158018
Night In London,tt0158026
Shahenshah,tt0158209
Shaukeen,tt0158213
Tu Nahin Aur Sahi,tt0158291
Tumhare Liye,tt0158293
Aadmi Aur Insaan,tt0158449
The Burning Train,tt0158534
Dharmputra,tt0158585
Nikaah,tt0158827
Wapas,tt0159109
Paheli,tt0165907
Sunayana,tt0165966
Taqdeer,tt0165973
Pyaar To Hona Hi Tha,tt0173081
Chor Machaye Shor,tt0175530
Daadi Maa,tt0175546
Dil Ne Pukara,tt0175566
Pati Patni,tt0176011
Patthar Ke Sanam,tt0176012
Sehra,tt0176128
Stree,tt0176192
Vallah Kya Baat Hai,tt0176313
Aadhi Raat,tt0177482
Aaina,tt0177493
Aaj Ki Raat,tt0177501
Aangan Ki Kali,tt0178188
Aansoo,tt0178190
Aap To Aise Na The,tt0178198
Aas,tt0178202
Aas Paas,tt0178203
Julie,tt0187192
Satya,tt0195231
Raja Rani,tt0206240
Anpadh,tt0206554
Ek Raaz,tt0207445
Lal Kunwar,tt0213047
Road To Sikkim,tt0213199
Beti,tt0213494
Bhakta Surdas,tt0213510
Bluff Master,tt0213524
Har Har Mahadev,tt0213705
Lalkar,tt0213797
Mohabbatein,tt0213890
Moorti,tt0213892
Sant Tulsidas,tt0275650
Shaadi,tt0214109
Tadbir,tt0214182
Tansen,tt0214188
Karz,tt0214841
Krodhi,tt0214866
Lagan,tt0214869
Narsi Bhagat,tt0214980
Pyaar Ki Jeet,tt0215091
Rocky,tt0215132
Thakshak,tt0215245
Babar,tt0215535
Ek Gaon Ki Kahani,tt0215743
Meenar,tt0215983
Parichay,tt0216067
Hum Dono,tt0225961
Champakali,tt0230071
Dil,tt0230140
Dil Ki Rahen,tt0230142
Hip Hip Hurray,tt0230294
Man Jaiye,tt0230479
Man Ki Aankhen,tt0230498
Qaidi,tt0230672
Shikari,tt0230771
Thakur Jarnail Singh,tt0230870
Zabardast,tt0230991
Anita,tt0231150
Anokhi Ada,tt0231156
Chand,tt0231332
Dard,tt0231427
Do Badan,tt0231469
Do Phool,tt0231474
Do Sitare,tt0231476
5 Rifles,tt0231592
Kamal Ke Phool,tt0231860
Mast Qalandar,tt0232065
Maya,tt0232066
Mera Gaon Mera Desh,tt0232081
Miss India,tt0232107
Nai Kahani,tt0232153
Najma,tt0232155
Nastik,tt0232166
Palki,tt0232260
Raj Mahal,tt0232508
Sabak,tt0232565
Shama Parwana,tt0232624
Son Of India,tt0232674
Zehreela Insaan,tt0232977
Amir Garib,tt0233202
Anjaana,tt0233220
Anokhi Ada,tt0233227
Barkha,tt0233292
Darwaza,tt0233522
Do Kaliyaan,tt0233587
Door Ka Raahi,tt0233604
Love Story,tt0234141
Shor,tt0234724
Ziddi,tt0235094
Bilwamangal,tt0235233
Oonche Log,tt0236554
Balika Badhu,tt0237022
Bhai,tt0238856
Shahenshah Babar,tt0241941
Kan Kan Men Bhagwan,tt0242570
Shabistan,tt0242875
Shart,tt0242879
Ek Din Ka Sultan,tt0243239
Mera Ghar Mere Bachche,tt0243414
Nausherwan-E-Adil,tt0243447
Buddha Mil Gaya,tt0244443
Phir Kab Milogi,tt0244713
Hero,tt0245942
The Train,tt0246286
Agar Tum Na Hote,tt0246413
Bazaar,tt0246456
Naina,tt0246800
Parwana,tt0246845
Qurbani,tt0246879
Sasural,tt0246916
Arab Ka Saudagar,tt0247176
College Girl,tt0247257
Dilli Ka Thug,tt0247291
Gumnaam,tt0247394
Manchali,tt0247502
Nirdosh,tt0247581
Naaz,tt0248218
Adhikar,tt0283844
Chhoti Chhoti Baatein,tt0252318
Ratnaghar,tt0253543
Betaab,tt0254179
Hamrahi,tt0254372
Izzat,tt0254437
Phool Aur Kaante,tt0254683
Nadiya Ke Paar,tt0256951
Abdullah,tt0259170
Chandan,tt0259244
Ladki,tt0259390
Haisiyat,tt0262458
Laila Majnu,tt7642836
Mere Mehboob,tt0266765
Patanga,tt0266839
Sagai,tt0266921
Anmol Ratan,tt0267266
Baap Beti,tt0267289
Musafir Khana,tt0267769
Poonam,tt0267835
Anurodh,tt0268146
Bahu,tt0268167
China Town,tt0268220
Hill Station,tt0268359
Mehbooba,tt0268449
Nadiya Ke Paar,tt0268480
Pagla Kahin Ka,tt0268519
Pushpanjali,tt0268555
Samadhi,tt0268614
Shagoon,tt0268631
Sheroo,tt0268635
